order_id,order_date,customer_name,email,phone,product,quantity,total_eur,ship_address,county,eircode,status,carrier,tracking_number,dispatch_date,est_delivery,delivered_date,notes
SG-1042,2026-07-20,Aoife Byrne,aoife.byrne@gmail.com,+353 87 234 1188,Set of 2,1,56.99,"14 Seapoint Avenue, Blackrock",Dublin,A94X6Y2,Processing,,,,2026-07-23,,Order placed - awaiting dispatch from Dublin warehouse
SG-1041,2026-07-20,Cian O'Sullivan,cian.osullivan@outlook.com,+353 86 991 2043,Set of 4,1,99.98,"7 Ashfield Court, Ballincollig",Cork,P31YH28,Processing,,,,2026-07-23,,Order placed - awaiting dispatch
SG-1040,2026-07-19,Niamh Kelly,niamh.kelly88@gmail.com,+353 85 447 6621,Set of 2,1,56.99,"32 Riverbank Drive, Ennis",Clare,V95K1F7,Dispatched,An Post,CA738492155IE,2026-07-20,2026-07-22,,Left Dublin sortation - in transit
SG-1039,2026-07-19,Liam Doyle,liam.doyle@yahoo.ie,+353 87 662 3390,Set of 2,2,113.98,"5 The Grove, Malahide",Dublin,K36DP04,Dispatched,DPD Ireland,DPD5540113276,2026-07-20,2026-07-22,,Two Set-of-2 units - single parcel
SG-1038,2026-07-18,Saoirse Murphy,saoirse.murphy@gmail.com,+353 83 220 7745,Set of 4,1,99.98,"22 Oakwood Park, Galway",Galway,H91YR62,In Transit,Fastway,FW-IE-88213047,2026-07-19,2026-07-21,,Out of Galway depot this morning
SG-1037,2026-07-18,Darragh Nolan,darragh.nolan@hotmail.com,+353 86 118 9954,Set of 2,1,56.99,"9 Hillcrest Road, Kilkenny",Kilkenny,R95F2A8,Out for Delivery,An Post,CA738201944IE,2026-07-19,2026-07-21,,On van for delivery today
SG-1036,2026-07-17,Emer Walsh,emer.walsh@gmail.com,+353 87 553 8812,Set of 2,1,56.99,"41 Meadowvale, Naas",Kildare,W91TD37,Delivered,DPD Ireland,DPD5539884120,2026-07-18,2026-07-20,2026-07-19,Delivered - left in porch per instructions
SG-1035,2026-07-17,Conor Fitzgerald,conor.fitz@gmail.com,+353 85 909 4471,Set of 4,1,99.98,"3 Casement Terrace, Tralee",Kerry,V92XK50,Delivered,An Post,CA737998210IE,2026-07-18,2026-07-20,2026-07-19,Delivered and signed for
SG-1034,2026-07-16,Grainne Ryan,grainne.ryan@outlook.com,+353 87 774 2205,Set of 2,1,56.99,"18 College View, Maynooth",Kildare,W23HP19,Delivered,Fastway,FW-IE-88102993,2026-07-17,2026-07-19,2026-07-18,Delivered to front door
SG-1033,2026-07-16,Sean Gallagher,sean.gallagher@gmail.com,+353 86 345 6690,Set of 2,1,56.99,"27 Strand Road, Bundoran",Donegal,F94E7C3,Delivered,An Post,CA737855601IE,2026-07-17,2026-07-19,2026-07-19,Delivered
SG-1032,2026-07-15,Orla McCarthy,orla.mccarthy@gmail.com,+353 83 661 0087,Set of 4,1,99.98,"11 Beechwood Close, Wexford",Wexford,Y35CV71,Delayed,DPD Ireland,DPD5538120664,2026-07-16,2026-07-18,,"Delivery exception - failed attempt, customer not home; re-delivery scheduled"
